ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
177;http://yalobox.com/img/p/1/9/8/198.jpg;BC Color Freeze Shampoo Sin Sal 250ml;;Home;21.93;21.93;2;1
120;http://yalobox.com/img/p/1/4/1/141.jpg;Toallas Familia Multicortes Rollo 90 cortes;;Home;1.18;1.18;3;1
298;http://yalobox.com/img/p/3/2/0/320.jpg;Detergente Líquido Ciclón 3000ml;;Home;8.93;8.93;1;1
63;http://yalobox.com/img/p/8/1/81.jpg;Chicle Orbit Sin Azúcar Menta;;Home;0.79;0.79;8;1
242;http://yalobox.com/img/p/2/6/2/262.jpg;Canguil Para Microondas Act II Mantequilla Extra 91g;;Home;1.32;1.32;3;1
185;http://yalobox.com/img/p/2/0/6/206.jpg;BC Repair Rescue Acondicionador Spray 200ml;;Home;28.95;28.95;1;1
128;http://yalobox.com/img/p/1/4/7/147.jpg;Gel Antibacterial Fres kids Sandía Explosiva Familia 60 ml;;Home;1.88;1.88;1;1
306;http://yalobox.com/img/p/3/2/8/328.jpg;Jabón Lava Todo 6 Limón Pack 2 Unidades;;Home;1.06;1.06;1;1
71;http://yalobox.com/img/p/9/0/90.jpg;Atún Isabel en Aceite de Girasol 175g;;Home;1.45;1.45;5;1
250;http://yalobox.com/img/p/2/7/0/270.jpg;Cerveza Artesanal Latitud Cero Catequilla 330ml;;Home;1.97;1.97;4;1
193;http://yalobox.com/img/p/2/1/4/214.jpg;Aceite de Oliva Rafael Salgado 250ml;;Home;3.07;3.07;1;1
136;http://yalobox.com/img/p/1/5/8/158.jpg;Desodorante Dove Stick Clean Comfort Men;;Home;4.83;4.83;1;1
314;http://yalobox.com/img/p/3/3/6/336.jpg;Canasta Navideña;;Alimentación;129.77;129.77;61;1
79;http://yalobox.com/img/p/9/8/98.jpg;Desmaquilladores Tippy's 50x;;Home;2.02;2.02;2;1
258;http://yalobox.com/img/p/2/7/8/278.jpg;Té Manzanilla ILE Caja 25 sobres;;Home;1.01;1.01;1;1
21;http://yalobox.com/img/p/3/8/38.jpg;Avena con Fruta Nutri 1 L;;Bebidas;1.31;1.31;1;1
201;http://yalobox.com/img/p/2/2/2/222.jpg;Rinse Para Mi Bebe 250ml;;Home;2.81;2.81;2;1
145;http://yalobox.com/img/p/1/6/7/167.jpg;Jabón Rexona Aqua Fresh;;Home;2.55;2.55;2;1
322;http://yalobox.com/img/p/3/4/5/345.jpg;Colcafé Capuccino Clásico Lata 270g;;Home;6.76;6.76;1;1
87;http://yalobox.com/img/p/1/0/6/106.jpg;Atún Real Lomitos en Aceite de Girasol Pack x 3;;Home;2.67;2.67;2;1
266;http://yalobox.com/img/p/2/8/6/286.jpg;Aceite con Achiote Sazonado ILE Botella 420ml;;Home;1.49;1.49;2;1
29;http://yalobox.com/img/p/4/8/48.jpg;Leche Entera Nutri Tetrapack Cartón 1L;;Lacteos;1.35;1.35;8;1
210;http://yalobox.com/img/p/2/3/0/230.jpg;Té de Cedrón Pusuquí Caja 25 sobres;;Home;0.88;0.88;2;1
153;http://yalobox.com/img/p/1/7/4/174.jpg;Néctar Naranja Real 200ml;;Home;0.60;0.60;12;1
330;http://yalobox.com/img/p/3/5/3/353.jpg;Cemento Holcim Fuerte Tipo GU Saco;;Ferretería;7.25;7.25;20;1
95;http://yalobox.com/img/p/1/1/4/114.jpg;Margarina Vital Bonella 250g;;Home;1.10;1.10;6;1
274;http://yalobox.com/img/p/2/9/8/298.jpg;Tequila Jimador Azteca Oro 750ml;;Home;14.24;14.24;2;1
37;http://yalobox.com/img/p/5/8/58.jpg;SEXY AMBER MICHAEL KORS;;Cuidado Personal;78.95;78.95;1;1
218;http://yalobox.com/img/p/2/3/8/238.jpg;Fideo Canuto Rayado Don Vittorio 250g;;Home;0.83;0.83;1;1
161;http://yalobox.com/img/p/1/8/2/182.jpg;Fideo Macarrón Real 400g;;Home;1.43;1.43;0;1
338;http://yalobox.com/img/p/3/6/1/361.jpg;Archivador Oficio Negro Único;;Home;2.15;2.15;40;1
103;http://yalobox.com/img/p/1/2/3/123.jpg;Shampoo Dove Reconstrucción Completa 200ml;;Home;3.38;3.38;2;1
282;http://yalobox.com/img/p/3/0/4/304.jpg;Antitranspirante AXE Urban 152ml;;Home;4.74;4.74;1;1
