"ID";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"199";"http://yalobox.com/img/p/2/2/0/220.jpg";"Jabón Cremoso Para Mi Bebe 250ml";"";"Home";"3.596491";"3.6";"1";"1";
"143";"http://yalobox.com/img/p/1/6/2/162.jpg";"Desodorante Roll-On Rexona Sportfan";"";"Home";"2.429825";"2.43";"1";"1";
"320";"http://yalobox.com/img/p/3/4/2/342.jpg";"Galletas Ducales 294g";"";"Home";"1.973684";"1.97";"3";"1";
"85";"http://yalobox.com/img/p/1/0/4/104.jpg";"Spray Ambiental Tips Besos de Algodón x2";"";"Home";"3.149123";"3.15";"1";"1";
"264";"http://yalobox.com/img/p/2/8/4/284.jpg";"Ajo en Pasta ILE Botella 200ml";"";"Home";"0.745614";"0.75";"1";"1";
"27";"http://yalobox.com/img/p/4/7/47.jpg";"Leche Deslactosada Semidescremada Funda Tetrapack Nutri 1 L";"";"Lacteos";"1.250000";"1.25";"0";"0";
"207";"http://yalobox.com/img/p/2/2/8/228.jpg";"Té de Anís Pusuquí Caja 25 sobres";"";"Home";"0.877193";"0.88";"2";"1";
"151";"http://yalobox.com/img/p/1/7/2/172.jpg";"Néctar Durazno Real 200ml";"";"Home";"0.596491";"0.6";"12";"1";
"328";"http://yalobox.com/img/p/3/5/1/351.jpg";"Café Tostado y Molido Sello Rojo 500g";"";"Home";"5.666667";"5.67";"3";"1";
"93";"http://yalobox.com/img/p/1/1/2/112.jpg";"Antitranspirante AXE Adrenaline 152ml";"";"Home";"4.736842";"4.74";"1";"1";
"272";"http://yalobox.com/img/p/2/9/4/294.jpg";"Papel Higiénico Familia Megarrollo Pack 12";"";"Home";"9.684211";"9.68";"0";"1";
"35";"http://yalobox.com/img/p/5/4/54.jpg";"Queso Fresco Nutri 500 Gramos";"";"Alimentación";"3.300000";"3.3";"1";"1";
"216";"http://yalobox.com/img/p/2/3/6/236.jpg";"Fideo Tornillo Don Vittorio 250g";"";"Home";"0.833333";"0.83";"1";"1";
"159";"http://yalobox.com/img/p/1/8/0/180.jpg";"Mermelada Frutimora Snob Sachet 240g";"";"Home";"1.271930";"1.27";"3";"1";
"336";"http://yalobox.com/img/p/3/5/9/359.jpg";"Microminas Rotring HB 0,5";"";"Home";"1.482456";"1.48";"5";"1";
"101";"http://yalobox.com/img/p/1/2/1/121.jpg";"Jabón Mix Dove Pack x 5";"";"Home";"4.385965";"4.39";"2";"1";
"280";"http://yalobox.com/img/p/3/0/2/302.jpg";"Servilletas Familia Económica 225 u";"";"Home";"0.894737";"0.89";"1";"1";
"44";"http://yalobox.com/img/p/1/3/3/133.jpg";"Funda Azucar 5 Kg";"";"Home";"5.150000";"5.15";"1";"1";
"104";"http://yalobox.com/img/p/1/2/4/124.jpg";"Jabón Líquido Lux Suavidad de Pétalos 250ml";"";"Home";"3.184211";"3.18";"3";"1";
"283";"http://yalobox.com/img/p/3/0/5/305.jpg";"Antitranspirante AXE Excite152ml";"";"Home";"4.736842";"4.74";"1";"1";
"47";"http://yalobox.com/img/p/6/4/64.jpg";"Jugo Del Valle Fresh 550ml";"";"Home";"0.438596";"0.44";"10";"1";
"227";"http://yalobox.com/img/p/2/4/7/247.jpg";"Caramelos American Toffee Licor";"";"Home";"2.850877";"2.85";"2";"1";
"170";"http://yalobox.com/img/p/1/9/1/191.jpg";"Detergente en Polvo Deja Aloe Vera 1kg";"";"Home";"2.894737";"2.89";"3";"1";
"347";"http://yalobox.com/img/p/3/7/0/370.jpg";"Marcador de Pizarra BIC Marking Rojo";"";"Home";"0.701754";"0.7";"12";"1";
"113";"http://yalobox.com/img/p/1/3/5/135.jpg";"Papel Higiénico Familia Megarrollo x 4";"";"Home";"3.973684";"3.97";"4";"1";
"291";"http://yalobox.com/img/p/3/1/3/313.jpg";"Shampoo Dove Reconstrucción Completa 400ml";"";"Home";"6.157895";"6.16";"1";"1";
"55";"http://yalobox.com/img/p/7/3/73.jpg";"Leche Saborizada de Fresa Nutri 200ml";"";"Home";"0.482456";"0.48";"0";"1";
"235";"http://yalobox.com/img/p/2/5/5/255.jpg";"Chocotin Liga de la Justicia";"";"Home";"0.877193";"0.88";"12";"1";
"178";"http://yalobox.com/img/p/1/9/9/199.jpg";"BC Moisture Kick Acondicionador Spray 200ml";"";"Home";"28.947368";"28.95";"2";"1";
"121";"http://yalobox.com/img/p/1/4/2/142.jpg";"Gel Antibacterial Familia 265 ml";"";"Home";"4.236842";"4.24";"2";"1";
"299";"http://yalobox.com/img/p/3/2/1/321.jpg";"Detergente Líquido Ciclón Practipack 210ml";"";"Home";"0.701754";"0.7";"3";"1";
"64";"http://yalobox.com/img/p/8/2/82.jpg";"Cereales Crokitos 20g";"";"Home";"0.271930";"0.27";"15";"1";
"243";"http://yalobox.com/img/p/2/6/3/263.jpg";"Manitoba Maní Salado 20g";"";"Home";"0.438596";"0.44";"11";"1";
"186";"http://yalobox.com/img/p/2/0/7/207.jpg";"BC Repair Rescue Puntas Sanas Crema 75ml";"";"Home";"28.070175";"28.07";"2";"1";
"129";"http://yalobox.com/img/p/1/4/8/148.jpg";"Toallas Tena Mujer Medium 10 u";"";"Home";"4.535088";"4.54";"3";"1";
"307";"http://yalobox.com/img/p/3/2/9/329.jpg";"Jabón Lava Todo 6 Naranja Mandarina Pack 2 Unidades";"";"Home";"1.061404";"1.06";"1";"1";
"72";"http://yalobox.com/img/p/9/1/91.jpg";"Atún Real Lomitos en Aceite de Girasol 180g";"";"Home";"1.552632";"1.55";"9";"1";
"251";"http://yalobox.com/img/p/2/7/1/271.jpg";"Cerveza Artesanal Latitud Cero Sierra Negra 330ml";"";"Home";"1.973684";"1.97";"4";"1";
"194";"http://yalobox.com/img/p/2/1/5/215.jpg";"Maicena Iris 200g";"";"Home";"0.833333";"0.83";"2";"1";
"138";"http://yalobox.com/img/p/1/5/9/159.jpg";"Desodorante Dove Stick Extra Fresh Men";"";"Home";"4.833333";"4.83";"1";"1";
"315";"http://yalobox.com/img/p/3/3/7/337.jpg";"Materiales de Construcción";"";"Home";"0.000000";"0";"1";"0";
"80";"http://yalobox.com/img/p/9/9/99.jpg";"Servilletas Familia Normal 200 u";"";"Home";"1.842105";"1.84";"0";"1";
"259";"http://yalobox.com/img/p/2/7/9/279.jpg";"Té de Cedrón ILE Caja 25 sobres";"";"Home";"1.008772";"1.01";"1";"1";
"22";"http://yalobox.com/img/p/3/9/39.jpg";"Bebida Nectar Premium Durazno Nutri 1 L";"";"Bebidas";"1.657895";"1.66";"3";"1";
"202";"http://yalobox.com/img/p/2/2/3/223.jpg";"Néctar de Durazno Sunny 237ml";"";"Home";"0.614035";"0.61";"7";"1";
"146";"http://yalobox.com/img/p/1/6/6/166.jpg";"Jabón Rexona Aloe";"";"Home";"2.552632";"2.55";"2";"1";
"323";"http://yalobox.com/img/p/3/4/6/346.jpg";"Colcafé Max 200g";"";"Home";"6.649123";"6.65";"1";"1";
"88";"http://yalobox.com/img/p/1/0/7/107.jpg";"Desodorante AXE Excite 150ml";"";"Home";"4.736842";"4.74";"1";"1";
"267";"http://yalobox.com/img/p/2/8/7/287.jpg";"Vinagre Blanco ILE Botella 100ml";"";"Home";"0.333333";"0.33";"2";"1";
"30";"http://yalobox.com/img/p/4/9/49.jpg";"Leche Nutri Semisdescremada Funda 1 L";"";"Home";"0.900000";"0.9";"24";"1";
"211";"http://yalobox.com/img/p/2/3/1/231.jpg";"Té de Manzanilla con Miel Hornimans Caja 25 sobres";"";"Home";"1.473684";"1.47";"2";"1";
"154";"http://yalobox.com/img/p/1/7/5/175.jpg";"Néctar Pera Real 200ml";"";"Home";"0.596491";"0.6";"12";"1";
"331";"http://yalobox.com/img/p/3/5/4/354.jpg";"Aditivo Para Morteros Sika Top77 4kg";"";"Ferretería";"28.438596";"28.44";"2";"1";
"96";"http://yalobox.com/img/p/1/1/6/116.jpg";"Detergente Líquido Deja 1,9 Lt";"";"Home";"6.692982";"6.69";"1";"1";
"275";"http://yalobox.com/img/p/2/9/6/296.jpg";"Papel Higiénico Familia Extragrande Pack 12";"";"Home";"8.114035";"8.11";"3";"1";
"38";"http://yalobox.com/img/p/5/9/59.jpg";"212 VIP ROSÉ";"";"Perfumes y Fragancias";"78.947368";"78.95";"0";"1";
"219";"http://yalobox.com/img/p/2/3/9/239.jpg";"Fideo Canuto Chico Don Vittorio 250g";"";"Home";"0.833333";"0.83";"1";"1";
"162";"http://yalobox.com/img/p/1/8/3/183.jpg";"Fideo Codito Rayado Real 400g";"";"Home";"1.429825";"1.43";"1";"1";
"339";"http://yalobox.com/img/p/3/6/2/362.jpg";"Archivador de Cartón";"";"Home";"1.043860";"1.04";"25";"1";
"165";"http://yalobox.com/img/p/1/8/6/186.jpg";"Mermelada Guayaba Snob Sachet 240g";"";"Home";"1.271930";"1.27";"3";"1";
"342";"http://yalobox.com/img/p/3/6/5/365.jpg";"Ambiental Tips Manzana Canela";"";"Home";"1.114035";"1.11";"3";"1";
"107";"http://yalobox.com/img/p/1/2/7/127.jpg";"Desodorante Stick Rexona V8 50g";"";"Home";"3.991228";"3.99";"1";"1";
"286";"http://yalobox.com/img/p/3/0/8/308.jpg";"Detergente en Polvo Surf Jazmín de la Media Noche y Orquideas 1kg";"";"Home";"2.675439";"2.68";"1";"1";
"50";"http://yalobox.com/img/p/6/8/68.jpg";"Mayonesa Los Andes 330g";"";"Home";"2.280702";"2.28";"1";"1";
"230";"http://yalobox.com/img/p/2/5/0/250.jpg";"Chocolates American Corazones Rellenos";"";"Home";"4.236842";"4.24";"1";"1";
"173";"http://yalobox.com/img/p/1/9/4/194.jpg";"Shampo Sedal Keratina con Antioxidante 350ml";"";"Home";"4.473684";"4.47";"2";"1";
"350";"http://yalobox.com/img/p/3/7/4/374.jpg";"Whisky John Morris 750ml";"";"Home";"9.403509";"9.4";"5";"1";
"116";"http://yalobox.com/img/p/1/3/8/138.jpg";"Servilletas Familia Normal 100 u";"";"Home";"2.105263";"2.11";"3";"1";
"294";"http://yalobox.com/img/p/3/1/6/316.jpg";"Aceite La Favorita 2lt";"";"Home";"4.385965";"4.39";"2";"1";
"58";"http://yalobox.com/img/p/6/7/67.jpg";"Yogurt Nutri Fresa 1000g";"";"Home";"2.250000";"2.25";"1";"1";
"238";"http://yalobox.com/img/p/2/5/8/258.jpg";"Papas Pringles Queso Pequeña";"";"Home";"1.315789";"1.32";"0";"1";
"181";"http://yalobox.com/img/p/2/0/1/201.jpg";"BC Oil Miracle Shampoo 200ml";"";"Home";"0.000000";"0";"2";"1";
"124";"http://yalobox.com/img/p/1/4/4/144.jpg";"Pañitos Antibacteriales Fres Kids Familia Lata";"";"Home";"3.482456";"3.48";"4";"1";
"302";"http://yalobox.com/img/p/3/2/4/324.jpg";"Suavizante Perla Soft Serenidad 1000ml";"";"Home";"3.122807";"3.12";"1";"1";
"67";"http://yalobox.com/img/p/8/6/86.jpg";"Jarabe de Frutilla Snob 680g";"";"Home";"3.842105";"3.84";"2";"1";
"246";"http://yalobox.com/img/p/2/6/6/266.jpg";"Espumante Grand Vandush 750ml";"";"Home";"5.438596";"5.44";"0";"1";
"189";"http://yalobox.com/img/p/2/1/0/210.jpg";"Osis Flatliner Serum Alisador Para Plancha 200ml";"";"Home";"23.684211";"23.68";"1";"1";
"132";"http://yalobox.com/img/p/1/5/0/150.jpg";"Jabón Íntimo Frescura Extrema Nosotras Sachet 18 ml";"";"Home";"0.570175";"0.57";"6";"1";
"310";"http://yalobox.com/img/p/3/3/2/332.jpg";"Desinfectante Olimpia Eucalipto 70ml";"";"Home";"0.219298";"0.22";"2";"1";
"75";"http://yalobox.com/img/p/9/4/94.jpg";"Toallas Nosotras Invisible Rapisec 10 u";"";"Home";"1.614035";"1.61";"24";"1";
"254";"http://yalobox.com/img/p/2/7/4/274.jpg";"Sabora ILE Sobre 50g";"";"Home";"0.377193";"0.38";"12";"1";
"197";"http://yalobox.com/img/p/2/1/8/218.jpg";"Café Buen Día 170g";"";"Home";"8.078947";"8.08";"1";"1";
"141";"http://yalobox.com/img/p/1/6/4/164.jpg";"Desodorante Spray Rexona Quantum Men";"";"Home";"4.736842";"4.74";"1";"1";
"318";"http://yalobox.com/img/p/3/4/0/340.jpg";"Bombones de Chocolate Montblanc Estuche 7 Unidades";"";"Home";"4.824561";"4.82";"1";"1";
"83";"http://yalobox.com/img/p/1/0/2/102.jpg";"Papel Higiénico Familia Extragrande 4 Rollos";"";"Home";"3.500000";"3.5";"2";"1";
"262";"http://yalobox.com/img/p/2/8/2/282.jpg";"Té de Toronjil ILE Caja 25 sobres";"";"Home";"1.008772";"1.01";"1";"1";
"25";"http://yalobox.com/img/p/4/2/42.jpg";"Crema de Leche Nutri 500 ml";"";"Alimentación";"1.850000";"1.85";"2";"1";
"205";"http://yalobox.com/img/p/2/2/6/226.jpg";"Té de Menta Pusuquí Caja 25 sobres";"";"Home";"0.877193";"0.88";"3";"1";
"149";"http://yalobox.com/img/p/1/7/0/170.jpg";"Durazno Snob En Mitades";"";"Home";"3.508772";"3.51";"4";"1";
"326";"http://yalobox.com/img/p/3/4/9/349.jpg";"Colcafé Capuccino Mocca Lata 270g";"";"Home";"6.763158";"6.76";"1";"1";
"91";"http://yalobox.com/img/p/1/1/0/110.jpg";"Desodorante AXE Fusion 150ml";"";"Home";"4.736842";"4.74";"3";"1";
"270";"http://yalobox.com/img/p/2/9/2/292.jpg";"Pilas Energizer Alkalina AAA2";"";"Home";"1.973684";"1.97";"6";"1";
"33";"http://yalobox.com/img/p/5/2/52.jpg";"Yogurt Nutri Durazno 200 g con cereal";"";"Home";"0.650000";"0.65";"4";"1";
"214";"http://yalobox.com/img/p/2/3/4/234.jpg";"Pasta Dental Blendax Full Menta 93g";"";"Home";"0.877193";"0.88";"2";"1";
"157";"http://yalobox.com/img/p/1/7/8/178.jpg";"Mermelada Frutilla Snob Frasco 290g";"";"Home";"1.692982";"1.69";"1";"1";
"334";"http://yalobox.com/img/p/3/5/7/357.jpg";"Clip Mariposa Alex Caja 50 Unidades";"";"Home";"1.131579";"1.13";"6";"1";
"99";"http://yalobox.com/img/p/1/1/9/119.jpg";"Detergente en Polvo Deja Brisas de Primavera 1,1kg";"";"Home";"2.894737";"2.89";"3";"1";
"278";"http://yalobox.com/img/p/3/0/0/300.jpg";"Rasuradora BIC Comfort 3";"";"Home";"1.315789";"1.32";"12";"1";
"42";"http://yalobox.com/img/p/1/3/2/132.jpg";"Arroba de arroz";"";"Home";"14.500000";"14.5";"0";"1";
"222";"http://yalobox.com/img/p/2/4/2/242.jpg";"Atún Van Camps Aceite de Girasol 184g";"";"Home";"1.543860";"1.54";"4";"1";
"45";"http://yalobox.com/img/p/6/2/62.jpg";"Queso Crema Toni Light 250g";"";"Home";"2.500000";"2.5";"0";"1";
"225";"http://yalobox.com/img/p/2/4/5/245.jpg";"Caramelos American Toffee Cafe Leche";"";"Home";"2.850877";"2.85";"2";"1";
"168";"http://yalobox.com/img/p/1/8/9/189.jpg";"Atún Real con Salsa Sabor a Mayonesa 142g";"";"Home";"1.228070";"1.23";"2";"1";
"345";"http://yalobox.com/img/p/3/6/8/368.jpg";"Esfero BIC Cristal Negro";"";"Home";"0.315789";"0.32";"24";"1";
"110";"http://yalobox.com/img/p/1/3/0/130.jpg";"Coca Cola Sabor Original 2,75lt";"";"Home";"2.192982";"2.19";"1";"0";
